#x	Q2	Q	z	h2p_div_d2p_measured	h2p_div_d2p_err	h2n_div_d2p_measured	h2n_div_d2p_err	d2n_div_d2p_measured	d2n_div_d2p_err	kin	W	F1	F2	F3
0.348	3.986	1.996	0.375	1.1144	0.0188	0.6151	0.0147	0.6924	0.0165	4	2.9	3.25	1.81	1.13
0.348	3.986	1.996	0.425	1.1554	0.0171	0.5872	0.0119	0.6709	0.0136	4	2.9	3.40	1.97	1.14
0.348	3.986	1.996	0.475	1.1656	0.0214	0.5775	0.0137	0.6574	0.0155	4	2.9	3.46	2.02	1.14
0.348	3.986	1.996	0.525	1.1152	0.0205	0.5257	0.0121	0.6383	0.0142	4	2.9	3.80	2.12	1.21
0.348	3.986	1.996	0.575	1.0883	0.0197	0.5213	0.0118	0.577	0.0132	4	2.9	3.83	2.09	1.11
0.348	3.986	1.996	0.625	1.0984	0.0198	0.5202	0.0109	0.5805	0.0126	4	2.9	3.84	2.11	1.12
0.348	3.986	1.996	0.675	1.0904	0.0208	0.4642	0.011	0.5151	0.0129	4	2.9	4.30	2.35	1.11
0.348	3.986	1.996	0.725	1.2538	0.0316	0.4583	0.0155	0.4823	0.0168	4	2.9	4.36	2.74	1.05
0.348	3.986	1.996	0.775	1.223	0.0755	0.391	0.0386	0.4975	0.0383	4	2.9	5.11	3.13	1.27
0.45	3.901	1.975	0.325	1.0218	0.0486	0.5794	0.028	0.6576	0.0298	5	2.4	3.41	1.76	1.00
0.45	3.901	1.975	0.375	1.0906	0.0278	0.5594	0.0143	0.6472	0.0158	5	2.4	3.53	1.95	1.16
0.45	3.901	1.975	0.425	1.14	0.0251	0.5698	0.012	0.659	0.0133	5	2.4	3.47	2.00	1.16
0.45	3.901	1.975	0.475	1.1584	0.0269	0.5277	0.0117	0.6173	0.013	5	2.4	3.74	2.20	1.17
0.45	3.901	1.975	0.525	1.1397	0.0258	0.51	0.0113	0.5735	0.0121	5	2.4	3.87	2.23	1.12
0.45	3.901	1.975	0.575	1.2252	0.0278	0.4764	0.0124	0.5712	0.0141	5	2.4	4.15	2.57	1.20
0.45	3.901	1.975	0.625	1.2831	0.0345	0.4279	0.0153	0.5229	0.0181	5	2.4	4.62	3.00	1.22
0.45	3.901	1.975	0.675	1.2683	0.0816	0.3961	0.0376	0.5356	0.0451	5	2.4	4.99	3.20	1.35
0.445	4.721	2.173	0.375	1.1049	0.0234	0.6068	0.0138	0.6959	0.0152	6	2.6	3.58	1.82	1.15
0.445	4.721	2.173	0.425	1.1979	0.0207	0.582	0.011	0.659	0.0121	6	2.6	3.73	2.06	1.13
0.445	4.721	2.173	0.475	1.1857	0.0218	0.5976	0.0117	0.6728	0.013	6	2.6	3.64	1.98	1.13
0.445	4.721	2.173	0.525	1.1376	0.0206	0.5211	0.0103	0.5959	0.0115	6	2.6	4.17	2.18	1.14
0.445	4.721	2.173	0.575	1.2393	0.0262	0.5197	0.0123	0.5947	0.0138	6	2.6	4.18	2.38	1.14
0.445	4.721	2.173	0.625	1.2774	0.0295	0.4675	0.0125	0.5856	0.0149	6	2.6	4.65	2.73	1.25
0.445	4.721	2.173	0.675	1.3093	0.0439	0.4361	0.0167	0.5676	0.0202	6	2.6	4.98	3.00	1.30
0.445	4.721	2.173	0.725	1.1495	0.0933	0.3935	0.0377	0.5043	0.0421	6	2.6	5.52	2.92	1.28
0.549	4.76	2.182	0.325	1.1852	0.0448	0.6729	0.03	0.7571	0.0352	7	2.2	3.24	1.76	1.13
0.549	4.76	2.182	0.375	1.2015	0.0259	0.5775	0.0151	0.7075	0.0186	7	2.2	3.78	2.08	1.23
0.549	4.76	2.182	0.425	1.2276	0.0234	0.5251	0.0121	0.6894	0.0151	7	2.2	4.15	2.34	1.31
0.549	4.76	2.182	0.475	1.2378	0.0272	0.5143	0.0131	0.6502	0.0155	7	2.2	4.24	2.41	1.26
0.549	4.76	2.182	0.525	1.3275	0.0312	0.5244	0.0138	0.5993	0.0155	7	2.2	4.16	2.53	1.14
0.549	4.76	2.182	0.575	1.2681	0.0396	0.4927	0.0168	0.5857	0.0199	7	2.2	4.43	2.57	1.19
0.549	4.76	2.182	0.625	1.2131	0.0685	0.4754	0.0299	0.5391	0.033	7	2.2	4.59	2.55	1.13
