#x	Q2	z	h2p	h2perr	d2p	d2perr	h2n	h2nerr	d2n	d2nerr	index
0.445	4.476	0.325	0.7847	0.0164	0.6851	0.0143	0.4198	0.015	0.485	0.0136	1
0.445	4.476	0.375	0.6244	0.0075	0.5357	0.0065	0.3222	0.0066	0.3769	0.006	1
0.445	4.476	0.425	0.4423	0.0036	0.3855	0.003	0.2375	0.003	0.2577	0.0026	1
0.445	4.476	0.475	0.3387	0.0026	0.2995	0.0022	0.1734	0.002	0.1927	0.0018	1
0.445	4.476	0.525	0.2503	0.0021	0.2172	0.0017	0.1266	0.0016	0.1351	0.0014	1
0.445	4.476	0.575	0.1976	0.002	0.1622	0.0015	0.0907	0.0023	0.0959	0.0019	1
0.445	4.476	0.625	0.1694	0.0021	0.1345	0.0014	0.0812	0.0092	0.0788	0.0061	1
0.445	4.476	0.675	0.1371	0.002	0.1021	0.0013	0	0	0	0	1
0.445	4.476	0.725	0.091	0.0036	0.0854	0.0026	0	0	0	0	1
0.348	3.986	0.325	0.9785	0.0434	0.895	0.0434	0.5491	0.04	0.6783	0.0512	2
0.348	3.986	0.375	0.638	0.007	0.5674	0.0069	0.364	0.0065	0.3943	0.0079	2
0.348	3.986	0.425	0.4817	0.0044	0.4342	0.0046	0.257	0.0039	0.2926	0.0048	2
0.348	3.986	0.475	0.3578	0.0035	0.3098	0.004	0.1768	0.003	0.2023	0.0034	2
0.348	3.986	0.525	0.2384	0.0027	0.2171	0.0033	0.1191	0.0021	0.1405	0.0027	2
0.348	3.986	0.575	0.1784	0.002	0.1593	0.0023	0.0876	0.0015	0.0948	0.0021	2
0.348	3.986	0.625	0.1469	0.0019	0.1294	0.0015	0.0699	0.0012	0.0726	0.0018	2
0.348	3.986	0.675	0.1215	0.0016	0.1047	0.0012	0.0508	0.0009	0.0545	0.0014	2
0.348	3.986	0.725	0.1057	0.0018	0.0867	0.0012	0.0412	0.001	0.0462	0.0012	2
0.348	3.986	0.775	0.0867	0.0029	0.0679	0.0016	0.0347	0.0016	0.0358	0.0016	2
0.45	3.901	0.325	0.9303	0.0347	0.858	0.031	0.4673	0.0224	0.534	0.0235	3
0.45	3.901	0.375	0.733	0.0108	0.6374	0.0096	0.3387	0.0067	0.3919	0.0071	3
0.45	3.901	0.425	0.5502	0.0066	0.4662	0.0057	0.2556	0.0039	0.2882	0.004	3
0.45	3.901	0.475	0.4216	0.0052	0.3561	0.0045	0.1855	0.0029	0.2149	0.003	3
0.45	3.901	0.525	0.3189	0.004	0.2698	0.0033	0.143	0.0022	0.1549	0.0022	3
0.45	3.901	0.575	0.245	0.0034	0.1987	0.0028	0.1022	0.0018	0.1125	0.0019	3
0.45	3.901	0.625	0.1817	0.0029	0.1428	0.0026	0.0659	0.0017	0.0799	0.0017	3
0.45	3.901	0.675	0.1366	0.0043	0.1151	0.0043	0.0522	0.0027	0.0643	0.0028	3
0.445	4.721	0.325	1.0166	0.0477	0.9243	0.0408	0.6103	0.0313	0.6261	0.0324	4
0.445	4.721	0.375	0.7492	0.0106	0.6671	0.009	0.391	0.0066	0.4438	0.0069	4
0.445	4.721	0.425	0.5673	0.0066	0.4742	0.0054	0.2809	0.0039	0.306	0.004	4
0.445	4.721	0.475	0.4095	0.0047	0.3431	0.0039	0.208	0.0027	0.2219	0.0029	4
0.445	4.721	0.525	0.2916	0.0035	0.2656	0.0031	0.1432	0.002	0.1573	0.0021	4
0.445	4.721	0.575	0.2299	0.003	0.1896	0.0025	0.102	0.0016	0.1113	0.0017	4
0.445	4.721	0.625	0.1874	0.0027	0.1491	0.0023	0.0725	0.0013	0.0847	0.0015	4
0.445	4.721	0.675	0.149	0.0027	0.1136	0.0022	0.053	0.0013	0.0644	0.0014	4
0.445	4.721	0.725	0.1096	0.0047	0.0948	0.0039	0.0449	0.0023	0.0518	0.0024	4
0.549	4.76	0.325	1.0472	0.0318	0.8091	0.026	0.5169	0.0234	0.6063	0.0253	5
0.549	4.76	0.375	0.7552	0.0097	0.6245	0.0084	0.348	0.0069	0.4344	0.0078	5
0.549	4.76	0.425	0.556	0.0063	0.451	0.0053	0.2437	0.004	0.306	0.0045	5
0.549	4.76	0.475	0.4324	0.0056	0.3521	0.005	0.1839	0.0032	0.2311	0.0036	5
0.549	4.76	0.525	0.3316	0.0045	0.2674	0.004	0.1467	0.0024	0.1598	0.0026	5
0.549	4.76	0.575	0.2551	0.0048	0.1989	0.004	0.1095	0.0025	0.118	0.0027	5
0.549	4.76	0.625	0.1852	0.0058	0.1518	0.0047	0.0754	0.0028	0.0869	0.0032	5
0.549	4.76	0.675	0.1761	0.0339	0.141	0.026	0	0	0	0	5
