xbj,Q2,z,x,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,xs_H2_pos,xs_H2_neg,y_H2_neg_incnorad_yield,y_H2_pos_incnorad_yield,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad,xs_D2_pos,xs_D2_neg,y_D2_neg_incnorad_yield,y_D2_pos_incnorad_yield
0.35,4,0.4,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0,0,0,0,0,0.921978,0,0,0,0,0.709781,0,0,0,0
0.35,4,0.4,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0,0,0,0,0,0.94219,0,0,0,0,0.765372,0,0,0,0
0.35,4,0.4,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0,0,0,0,0,0.962582,0,0,0,0,0.817882,0,0,0,0
0.35,4,0.4,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0,0,0,0,0,0.983152,0,0,0,0,0.867313,0,0,0,0
0.35,4,0.4,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0,0,0,0,0,1.0039,0,0,0,0,0.913665,0,0,0,0
0.35,4,0.4,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0,0,0,0,0,1.02483,0,0,0,0,0.956937,0,0,0,0
0.35,4,0.4,0.325,1.69093,0.102026,2.84639,0.115588,3.84363,0.223814,4.78257,0.213113,0.597888,0.0744338,0.785602,0.0551123,0.00543012,0.064922,0.223042,1.04594,0.0185664,0.0236772,0.0683699,0.357069,0.997129,0,0,0,0,0.0123431,0.0190654,0.147573,0.506994,1.04594,0.0311957,0.0397831,0.114877,0.599957,0.997129,0,0,0,0
0.35,4,0.4,0.375,34.9639,0.463936,63.3247,0.545195,68.6141,0.945632,103.082,0.989396,11.6477,0.328534,16.3767,0.251628,0.129477,1.2085,4.67684,1.06722,0.46285,0.520004,1.39573,7.93108,1.03424,4.92136e-09,2.83686e-09,1.12515,1.95189,0.254088,0.356854,2.37158,9.17793,1.06722,0.753441,0.846478,2.27201,12.9105,1.03424,1.41967e-08,9.61223e-09,4.31667,6.37548
0.35,4,0.4,0.425,36.9692,0.477054,69.8701,0.572678,74.5979,0.986005,115.946,1.04932,11.679,0.328976,17.287,0.258528,0.175685,1.35261,5.02957,1.08869,0.628555,0.644188,1.6292,8.82899,1.06827,3.66094e-09,2.04491e-09,18.5908,33.2826,0.354505,0.462442,2.72936,10.1489,1.08869,1.04306,1.069,2.70359,14.6513,1.06827,1.27678e-08,8.46606e-09,88.6833,133.745
0.35,4,0.4,0.475,15.0434,0.304313,30.9917,0.381407,32.3713,0.649525,49.7991,0.687685,4.74659,0.209726,7.00756,0.1646,0.0956534,0.6689,2.08746,1.11033,0.358993,0.351527,0.863131,3.99178,1.09923,2.79424e-09,1.50548e-09,16.4171,30.4707,0.205834,0.257513,1.43938,4.49193,1.11033,0.576848,0.564852,1.38692,6.41419,1.09923,1.18187e-08,7.64664e-09,94.7252,146.407
0.35,4,0.4,0.525,0.26361,0.0402837,0.423848,0.0446036,0.446527,0.0762851,0.611622,0.0762115,0.0960127,0.0321543,0.089539,0.018606,0.0022465,0.0153409,0.0374081,1.13216,0.00638803,0.00617978,0.0151056,0.0561852,1.1271,1.93537e-09,1.00145e-09,5.17255,9.99625,0.00380533,0.00467445,0.0259859,0.0633653,1.13216,0.00921807,0.00891756,0.0217977,0.0810765,1.1271,1.05524e-08,6.64944e-09,39.7034,63.0079
0.35,4,0.4,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15416,0,0,0,0,1.1519,1.24764e-09,6.17045e-10,0.0454252,0.0918477,0,0,0,0,1.15416,0,0,0,0,1.1519,8.67815e-09,5.31448e-09,0.38674,0.631516
0.35,4,0.4,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17634,0,0,0,0,1.17361,0,0,0,0,0,0,0,0,1.17634,0,0,0,0,1.17361,0,0,0,0
0.35,4,0.4,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1987,0,0,0,0,1.19224,0,0,0,0,0,0,0,0,1.1987,0,0,0,0,1.19224,0,0,0,0
0.35,4,0.4,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22124,0,0,0,0,1.2078,0,0,0,0,0,0,0,0,1.22124,0,0,0,0,1.2078,0,0,0,0
0.35,4,0.4,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24395,0,0,0,0,1.22027,0,0,0,0,0,0,0,0,1.24395,0,0,0,0,1.22027,0,0,0,0
0.35,4,0.4,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0,0,0,0,0,1.26685,0,0,0,0,1.22967,0,0,0,0
