Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,Residual
4.0,3.41255,0.275,0.287134,0.375,0.373686,100.0,4.91852,1.03816,4.49105,11.4723,17.2874,91.8381,125.853,0.734042,0.734042,18.0277,16.9202,26.6802,25.8821,9.35832,6.10197,0.281077,0.365131,2.36843,-0.6346324331521356
4.0,3.78059,0.325,0.325361,0.375,0.376769,100.0,5.96769,0.814457,5.5873,32.568,46.5904,91.8381,125.853,1.47932,1.47932,42.9392,39.4637,64.6264,62.3665,8.72627,5.68119,0.317242,0.366963,2.33427,0.7343387704231081
4.0,4.2121,0.375,0.370503,0.375,0.380197,100.0,6.83378,1.22578,6.60667,22.2045,30.7079,91.8381,125.853,0.542809,0.542809,22.9662,20.5806,35.0925,32.2453,8.04359,5.22116,0.359668,0.368969,2.30425,1.3508177609329228
4.0,4.60704,0.425,0.41689,0.375,0.385148,100.0,3.27669,0.97183,3.15986,4.81986,8.20088,91.8381,125.853,0.123056,0.123056,4.62579,4.08089,7.152,6.06422,7.32982,4.72658,0.403937,0.372821,2.26924,-1.7804270452212752
4.0,3.40661,0.275,0.286871,0.425,0.423565,100.0,5.6406,1.17543,5.33572,10.0031,14.5222,91.8381,125.853,0.411638,0.411638,14.3963,14.2908,21.7829,22.783,9.35477,5.67586,0.280734,0.414115,2.68345,0.4902276468296566
4.0,3.76941,0.325,0.326544,0.425,0.423237,100.0,4.59586,0.503972,4.30595,32.52,49.9543,91.8381,125.853,1.64085,1.64085,43.1366,41.5198,66.3927,63.4846,8.66252,5.27918,0.315537,0.410406,2.60693,-0.5954230726273916
4.0,4.185,0.375,0.371533,0.425,0.423767,100.0,4.13678,0.532538,3.90077,24.4591,38.7439,91.8381,125.853,1.01892,1.01892,29.5011,26.9501,46.0736,42.2849,7.96565,4.86167,0.360882,0.411194,2.54639,-1.1385306939044637
4.0,4.60596,0.425,0.418281,0.425,0.424331,100.0,5.81822,1.56856,5.57824,7.63287,10.9913,91.8381,125.853,0.243746,0.243746,7.45165,6.88767,11.7766,10.9791,7.29145,4.4466,0.404533,0.410243,2.4923,0.7635029039498488
4.0,3.40986,0.275,0.28919,0.475,0.456171,100.0,1.82308,0.855707,1.39117,1.20426,2.48399,91.8381,125.853,0.185533,0.185533,2.36001,2.31036,3.6271,3.43095,9.26718,5.35332,0.282074,0.446083,2.8703,-3.373116716294424
4.0,3.7444,0.325,0.329254,0.475,0.464408,100.0,5.823,1.12647,5.38796,11.7127,16.8627,91.8381,125.853,0.704538,0.704538,15.676,15.1622,24.6104,24.0893,8.51747,4.88318,0.320741,0.45239,2.81811,1.2082304890451112
4.0,4.15054,0.375,0.372288,0.475,0.46825,100.0,4.90601,0.839478,4.57577,14.0575,21.1981,91.8381,125.853,0.689586,0.689586,15.9564,14.4887,25.4986,23.5981,7.88299,4.50233,0.361256,0.454536,2.7844,0.7320714110967054
4.0,4.59816,0.425,0.418439,0.475,0.471394,100.0,4.48429,1.12541,4.30182,5.96901,9.23416,91.8381,125.853,0.186853,0.186853,5.52461,4.99182,8.96656,7.92401,7.27597,4.13493,0.404421,0.455635,2.7635,0.29509796043755887
