xbj,Q2,z,zi,y_neg_H2,err_neg_H2,y_pos_H2,err_pos_H2,y_neg_D2,err_neg_D2,y_pos_D2,err_pos_D2,y_neg_Dummy,err_neg_Dummy,y_pos_Dummy,err_pos_Dummy,y_H2_neg_delta,y_H2_neg_rho,y_H2_neg_Dummy,y_H2_neg_incnorad,y_H2_pos_delta,y_H2_pos_exc,y_H2_pos_rho,y_H2_pos_Dummy,y_H2_pos_incnorad,xs_H2_pos,xs_H2_neg,y_H2_neg_incnorad_yield,y_H2_pos_incnorad_yield,y_D2_neg_delta,y_D2_neg_exc,y_D2_neg_rho,y_D2_neg_Dummy,y_D2_neg_incnorad,y_D2_pos_delta,y_D2_pos_exc,y_D2_pos_rho,y_D2_pos_Dummy,y_D2_pos_incnorad,xs_D2_pos,xs_D2_neg,y_D2_neg_incnorad_yield,y_D2_pos_incnorad_yield
0.35,4,0.4,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.847952,0,0,-0,0,0.900297,0,0,0,0,0,-0,0,0,0.906153,0,0,0,0,0.74317,0,0,0,0
0.35,4,0.4,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.905936,0,0,-0,0,0.944593,0,0,0,0,0,-0,0,0,0.927362,0,0,0,0,0.790426,0,0,0,0
0.35,4,0.4,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.960645,0,0,-0,0,0.987055,0,0,0,0,0,-0,0,0,0.948768,0,0,0,0,0.835504,0,0,0,0
0.35,4,0.4,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,1.01208,0,0,-0,0,1.02768,0,0,0,0,0,-0,0,0,0.970369,0,0,0,0,0.878406,0,0,0,0
0.35,4,0.4,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06024,0,0,-0,0,1.06648,0,0,0,0,0,-0,0,0,0.992165,0,0,0,0,0.919131,0,0,0,0
0.35,4,0.4,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10512,0,0,-0,0,1.10344,0,0,0,0,0,-0,0,0,1.01416,0,0,0,0,0.957679,0,0,0,0
0.35,4,0.4,0.325,4.52388,0.16688,7.65783,0.189591,9.31305,0.401391,12.7475,0.34793,1.55949,0.120213,2.07519,0.0895728,0.0108517,0.0815411,4.76635,1.14673,0.0846689,0.027329,0.0492813,4.87788,1.13857,0,0,0,0,0.0434926,0.0193818,0.311537,1.05995,1.03634,0.112952,0.0941738,0.273499,1.6404,0.99405,0,0,0,0
0.35,4,0.4,0.375,51.9338,0.565423,93.2342,0.661535,100.311,1.31734,150.865,1.19694,16.7212,0.393636,23.3826,0.300672,0.115246,1.37128,36.6038,1.18506,0.803327,0.308956,2.31434,52.7085,1.17186,5.17874e-09,3.00103e-09,2.74972,4.74507,0.519544,0.470461,3.37087,12.7033,1.05873,1.49748,1.24654,3.26734,18.9396,1.02824,1.47659e-08,1.00424e-08,10.3459,15.2121
0.35,4,0.4,0.425,55.9106,0.586672,107.752,0.711176,115.247,1.41201,174.222,1.28627,17.0639,0.397648,26.0075,0.3171,0.156776,1.96184,42.8491,1.22012,0.969673,0.43922,4.2215,68.0541,1.20333,3.743e-09,2.09753e-09,27.2607,48.6461,0.718461,0.894784,4.44768,16.3456,1.08131,2.04293,1.75631,4.27708,21.5518,1.06026,1.2872e-08,8.54964e-09,128.852,193.994
0.35,4,0.4,0.475,34.5978,0.461501,66.6245,0.559219,71.3396,1.11093,106.698,1.0066,11.1477,0.321406,15.0376,0.241122,0.143707,1.52499,42.8426,1.25191,0.813172,0.390165,3.29798,55.6799,1.23295,2.74228e-09,1.47919e-09,24.8956,46.1539,0.558904,0.806371,3.45406,11.3709,1.10408,1.5216,1.37025,3.21497,13.1423,1.0901,1.15437e-08,7.47086e-09,142.84,220.71
0.35,4,0.4,0.525,6.67111,0.20265,12.3822,0.241082,14.7015,0.504316,20.9981,0.446548,2.09808,0.139435,2.84597,0.104897,0.0418134,0.356045,14.1466,1.28042,0.225786,0.107151,0.690828,14.5834,1.26075,1.95189e-09,1.01156e-09,11.7016,22.5791,0.146725,0.225046,0.92734,2.63627,1.12705,0.368106,0.347455,0.806399,2.60273,1.11776,1.04401e-08,6.57718e-09,88.2457,140.074
0.35,4,0.4,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30565,0,0,0,0,1.28671,1.22101e-09,6.00246e-10,1.38081,2.80883,0,0,0,0,1.15021,0,0,0,0,1.14325,8.52644e-09,5.19242e-09,16.3626,26.8689
0.35,4,0.4,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32761,0,0,0,0,1.31084,0,0,0,0,0,0,0,0,1.17358,0,0,0,0,1.16656,0,0,0,0
0.35,4,0.4,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34629,0,0,0,0,1.33313,0,0,0,0,0,0,0,0,1.19713,0,0,0,0,1.18769,0,0,0,0
0.35,4,0.4,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3617,0,0,0,0,1.35359,0,0,0,0,0,0,0,0,1.22088,0,0,0,0,1.20665,0,0,0,0
0.35,4,0.4,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37383,0,0,0,0,1.37222,0,0,0,0,0,0,0,0,1.24483,0,0,0,0,1.22342,0,0,0,0
0.35,4,0.4,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38269,0,0,0,0,1.38901,0,0,0,0,0,0,0,0,1.26897,0,0,0,0,1.23803,0,0,0,0
0.35,4,0.4,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38828,0,0,-0,0,1.40397,0,0,0,0,0,0,0,0,1.29331,0,0,0,0,1.25045,0,0,0,0
0.35,4,0.4,0.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39059,0,0,-0,0,1.4171,0,0,0,0,0,0,0,0,1.31785,0,0,0,0,1.2607,0,0,0,0
0.35,4,0.4,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38962,0,0,-0,0,1.42839,0,0,0,0,0,0,0,0,1.34258,0,0,0,0,1.26877,0,0,0,0
0.35,4,0.5,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.847952,0,0,-0,0,0.900297,0,0,0,0,0,-0,0,0,0.906153,0,0,0,0,0.74317,0,0,0,0
0.35,4,0.5,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.905936,0,0,-0,0,0.944593,0,0,0,0,0,-0,0,0,0.927362,0,0,0,0,0.790426,0,0,0,0
0.35,4,0.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0.960645,0,0,-0,0,0.987055,0,0,0,0,0,-0,0,0,0.948768,0,0,0,0,0.835504,0,0,0,0
0.35,4,0.5,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,1.01208,0,0,-0,0,1.02768,0,0,0,0,0,-0,0,0,0.970369,0,0,0,0,0.878406,0,0,0,0
0.35,4,0.5,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06024,0,0,-0,0,1.06648,0,0,0,0,0,-0,0,0,0.992165,0,0,0,0,0.919131,0,0,0,0
0.35,4,0.5,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10512,0,0,-0,0,1.10344,0,0,0,0,0,-0,0,0,1.01416,0,0,0,0,0.957679,0,0,0,0
0.35,4,0.5,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14673,0,0,0,0,1.13857,0,0,0,0,0,0,0,0,1.03634,0,0,0,0,0.99405,0,0,0,0
0.35,4,0.5,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18506,0,0,0,0,1.17186,0,0,0,0,0,0,0,0,1.05873,0,0,0,0,1.02824,0,0,0,0
0.35,4,0.5,0.425,11.4185,0.225939,22.1331,0.327648,25.0784,0.52183,35.3248,0.821008,3.86464,0.173628,5.82535,0.267408,0.0320182,0.400662,8.75099,1.22012,0.19918,0.0902197,0.867133,13.9789,1.20333,0,0,0,0,0.156341,0.19471,0.967839,3.55689,1.08131,0.414219,0.356104,0.867208,4.36979,1.06026,0,0,0,0
0.35,4,0.5,0.475,48.1232,0.463835,88.4857,0.655122,103.257,1.05886,142.063,1.64645,16.4918,0.358672,22.221,0.52227,0.199886,2.12116,59.5912,1.25191,1.07999,0.518188,4.38013,73.9499,1.23295,3.26215e-09,1.77075e-09,5.37916,9.90969,0.808957,1.16714,4.9994,16.4583,1.10408,2.02595,1.82442,4.2806,17.4985,1.0901,1.29676e-08,8.42143e-09,29.5091,45.439
0.35,4,0.5,0.525,56.9065,0.50439,86.8246,0.648944,126.977,1.1742,140.724,1.63867,19.2593,0.3876,22.13,0.5212,0.356681,3.03717,120.674,1.28042,1.58322,0.751346,4.8441,102.259,1.26075,2.15013e-09,1.1224e-09,16.4419,31.4968,1.26727,1.94373,8.00945,22.7695,1.12705,2.46696,2.32856,5.4043,17.4429,1.11776,1.10532e-08,6.98678e-09,117.312,185.588
0.35,4,0.5,0.575,45.2828,0.449938,63.0997,0.553222,95.0045,1.01567,102.019,1.39524,15.7224,0.350206,16.2618,0.446784,0.414187,2.85143,154.559,1.30565,1.7092,0.78676,3.66296,104.601,1.28671,1.53751e-09,7.74327e-10,12.481,24.7823,1.20387,1.87893,7.84498,19.1545,1.15021,2.19697,2.16229,5.0362,12.8581,1.14325,9.59686e-09,5.91053e-09,117.602,190.948
0.35,4,0.5,0.625,18.3567,0.286473,25.9134,0.354526,37.577,0.638763,40.4031,0.878041,6.00142,0.216367,6.33271,0.27881,0.234784,1.33769,93.9158,1.32761,1.00448,0.448326,1.45832,58.9668,1.31084,1.21663e-09,5.96727e-10,6.59395,13.444,0.597799,0.928604,4.01727,8.50294,1.17358,1.06155,1.08224,2.54608,5.22929,1.16656,8.63787e-09,5.2042e-09,85.3123,141.6
0.35,4,0.5,0.675,1.75431,0.0885603,2.95462,0.119712,4.27745,0.215512,4.97914,0.308237,0.793523,0.0786763,0.595342,0.0854863,0.030171,0.145747,12.6828,1.34629,0.15737,0.0684019,0.149122,8.95623,1.33313,9.85272e-10,4.69751e-10,0.873139,1.83135,0.084228,0.128803,0.582063,1.08353,1.19713,0.158078,0.165908,0.395137,0.667836,1.18769,7.35325e-09,4.30102e-09,33.8517,57.8745
0.35,4,0.5,0.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3617,0,0,0,0,1.35359,1.42106e-09,6.682e-10,0.000346702,0.000737331,0,0,0,0,1.22088,0,0,0,0,1.20665,6.60452e-09,3.7716e-09,3.78139,6.62167
0.35,4,0.5,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37383,0,0,0,0,1.37222,0,0,0,0,0,0,0,0,1.24483,0,0,0,0,1.22342,0,0,0,0
