Q2,Q2_corr,xbj,xbj_corr,z,z_corr,RunGroup,y_RD,error_RD,y_RD_rho,yield_neg,yield_pos,charge_neg,charge_pos,yield_neg_rho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp,Residual
4.0,3.41203,0.275,0.286632,0.375,0.380686,100.0,5.97324,1.59155,5.35093,8.48663,12.1377,91.8381,125.853,0.596416,0.596416,13.046,11.8691,19.3649,19.013,9.37773,6.05404,0.280541,0.372169,2.4166,-0.475195,0.562195243870211
4.0,3.79476,0.325,0.324466,0.375,0.384507,100.0,4.71608,0.758823,4.3528,18.6292,28.4065,91.8381,125.853,1.01735,1.01735,25.8423,23.7382,39.0407,37.3047,8.78644,5.65709,0.316482,0.374926,2.39757,-1.25889,-0.3197794140948124
4.0,4.24668,0.375,0.369025,0.375,0.387694,100.0,7.67259,2.05338,7.45166,10.3145,13.8825,91.8381,125.853,0.236651,0.236651,10.2606,9.46355,15.757,14.6584,8.14848,5.23221,0.358705,0.37664,2.37878,-2.03261,1.3594295138360994
4.0,3.40664,0.275,0.286873,0.425,0.423558,100.0,5.42177,1.11133,5.12695,9.97157,14.6299,91.8381,125.853,0.411638,0.411638,14.3963,14.2908,21.7829,22.783,9.35476,5.67589,0.28073,0.414109,2.68341,10.5134,0.551606108205959
4.0,3.76943,0.325,0.326535,0.425,0.42324,100.0,4.53528,0.4949,4.24817,32.4889,50.0971,91.8381,125.853,1.64085,1.64085,43.1213,41.513,66.3696,63.4841,8.66288,5.27934,0.315272,0.410271,2.60703,7.36776,-0.359486818801417
4.0,4.18513,0.375,0.371497,0.425,0.423832,100.0,4.0365,0.517169,3.80375,24.3114,38.7925,91.8381,125.853,1.01892,1.01892,29.4632,26.9165,46.0155,42.2314,7.96693,4.862,0.360838,0.411263,2.54708,4.89876,-1.192957003842214
4.0,4.60623,0.425,0.418254,0.425,0.424452,100.0,5.91174,1.60917,5.66568,7.61412,10.919,91.8381,125.853,0.243746,0.243746,7.43261,6.8571,11.7469,10.9653,7.29254,4.44647,0.404522,0.410348,2.49331,2.68407,0.7884501844135244
4.0,3.40989,0.275,0.289194,0.475,0.456178,100.0,1.74229,0.822899,1.31832,1.19276,2.49761,91.8381,125.853,0.185533,0.185533,2.36001,2.31036,3.6271,3.43095,9.26712,5.35325,0.28208,0.446103,2.87031,18.2106,-3.434457282777242
4.0,3.74443,0.325,0.329253,0.475,0.464398,100.0,5.77201,1.11024,5.34123,11.7381,16.9381,91.8381,125.853,0.704538,0.704538,15.676,15.1622,24.6104,24.0893,8.51757,4.88335,0.320748,0.452371,2.81808,16.0596,1.2221499389964803
4.0,4.1505,0.375,0.372284,0.475,0.468244,100.0,4.86354,0.82911,4.53575,14.0573,21.2495,91.8381,125.853,0.689586,0.689586,15.9564,14.4887,25.4986,23.5981,7.88306,4.50238,0.361255,0.454536,2.78437,14.6711,0.6351937583766611
4.0,4.59778,0.425,0.418404,0.475,0.471404,100.0,4.49394,1.12892,4.31114,5.96806,9.22695,91.8381,125.853,0.186853,0.186853,5.52461,4.99182,8.96656,7.92401,7.27637,4.13514,0.40442,0.455634,2.76356,13.8142,0.16487488700046143
4.0,3.40934,0.275,0.28642,0.475,0.476678,90.0,6.53194,1.84935,5.7227,8.81283,12.323,111.463,62.5913,0.867389,0.867389,13.1035,12.3212,20.3168,19.3319,9.38009,5.23548,0.280097,0.466767,3.02781,-0.2997,1.1417538140622492
4.0,3.79411,0.325,0.32438,0.475,0.480644,90.0,4.49358,0.737666,4.22038,19.5123,30.1678,111.463,62.5913,0.889461,0.889461,27.0847,24.5272,42.8718,38.5559,8.78832,4.89563,0.316294,0.469095,2.99921,-1.24167,0.26251937542071746
4.0,4.2422,0.375,0.368786,0.475,0.48477,90.0,4.51413,1.08528,4.20657,9.53182,14.7177,111.463,62.5913,0.45252,0.45252,10.8605,9.42938,17.5266,15.395,8.14815,4.52138,0.358578,0.471469,2.97512,-2.03478,0.2763723462686899
4.0,4.62373,0.425,0.413646,0.475,0.491969,90.0,1.51524,0.956826,1.34377,1.04865,2.29941,111.463,62.5913,0.0569713,0.0569713,1.18742,0.955415,1.94882,1.58773,7.43931,4.08436,0.400195,0.476265,2.93335,-3.41001,-2.753242248799955
4.0,3.41265,0.275,0.287306,0.525,0.523677,90.0,9.13667,2.80458,8.35199,10.2086,13.2299,111.463,62.5913,0.647412,0.647412,12.1694,10.7777,19.2454,17.4994,9.35171,4.82111,0.281342,0.512937,3.32022,9.32862,1.816995223160451
4.0,3.76893,0.325,0.326725,0.525,0.523641,90.0,4.39484,0.617211,3.93844,25.1069,39.0686,111.463,62.5913,1.87773,1.87773,35.6919,31.7931,57.6083,51.553,8.65559,4.48968,0.317977,0.510289,3.22476,6.18542,0.7131978961437022
4.0,4.19141,0.375,0.372063,0.525,0.523881,90.0,5.81958,1.00973,5.41553,21.9273,31.5734,111.463,62.5913,1.06058,1.06058,24.319,20.5718,39.9762,34.3987,7.96056,4.14144,0.36156,0.509103,3.14991,3.72063,1.8982604393140092
