Q2,Q2_corr,Q2_corr_err,xbj_set,xbj,xbj_corr,xbj_corr_err,z_set,z,z_corr,z_corr_err,RunGroup,y_RD,error_RD,y_RD_rho,y_RD_1p5rho,y_RD_1p8rho,y_RD_2rho,RY,RY_rho,RY_1p5rho,RY_1p8rho,RY_noexc,RY_nodelta,error,yield_neg,yield_pos,radia_corr_neg,radia_corr_pos,yield_neg_data,yield_neg_D2_data,error_neg,yield_pos_data,yield_pos_D2_data,error_pos,charge_neg_all,charge_pos_all,yield_neg_exc,yield_neg_delta,yield_neg_norho,yield_neg_rho,yield_pos_exc,yield_pos_delta,yield_pos_norho,yield_pos_rho,yield_neg_incnorad,yield_neg_incrad,yield_pos_incnorad,yield_pos_incrad,W2_corr,Wp2_corr,xprime_corr,zprime_corr,shms_p,shms_dp,Kpi_pos,Kpi_neg
4,3.3712,0.0104521,0.35,0.275000,0.278334,7.53443e-05,0.4,0.325000,0.344232,7.54303e-06,100,9.57983,4.76266,9.24131,9.0742,8.9746,8.90848,0.779084,0.773436,0.77054,0.768779,0.767339,0.767251,0.0774786,4.87028,6.25128,1.04166,0.935373,4.9086,4.89783,0.425174,6.39965,7.08449,0.297757,69.1702,125.853,0.0166963,0.0200997,4.67548,0.11095,0.076458,0.0821586,6.6832,0.11095,5.62786,5.40276,8.18512,8.75064,9.6262,6.52339,0.272838,0.337434,2.22273,-8.45941,0.0127447,0.0161728
4,3.37711,0.00797529,0.35,0.275000,0.282185,7.11231e-05,0.4,0.375000,0.374032,0.00010148,100,4.68709,0.693476,4.40084,4.25798,4.17235,4.1153,0.65466,0.642893,0.636715,0.632909,0.642596,0.639283,0.0275679,25.2673,38.596,1.04234,1.02868,25.5813,25.5224,0.942749,39.3139,39.6712,0.753524,69.1702,125.853,0.200795,0.100484,24.2409,1.19197,0.333405,0.364435,37.5201,1.19197,35.5756,34.1304,52.5453,51.0805,9.47877,6.17125,0.276209,0.365807,2.38765,-1.66717,0.0201263,0.0163
4,3.78953,0.0163505,0.35,0.325000,0.324555,0.000100677,0.4,0.375000,0.376633,9.27272e-05,100,6.03401,0.753793,5.71385,5.5549,5.45989,5.3967,0.701017,0.691163,0.686025,0.682872,0.689369,0.688792,0.0224607,45.1709,64.4363,1.08233,1.02883,45.6421,44.0376,1.27626,65.4989,66.2378,0.973582,69.1702,125.853,0.239632,0.195677,41.7348,1.71042,0.52423,0.508544,62.6304,1.71042,55.0049,50.8208,82.7991,80.4786,8.77389,5.71056,0.31653,0.36689,2.34468,-3.43699,0.0207922,0.0163115
4,4.20513,0.0166095,0.35,0.375000,0.371119,9.54076e-05,0.4,0.375000,0.380905,8.02862e-05,100,5.85061,0.939087,5.63409,5.526,5.4612,5.41802,0.69545,0.688606,0.685072,0.682915,0.68586,0.682884,0.0290336,27.8794,40.0883,1.11315,1.09681,28.134,26.3515,1.02226,40.9462,38.8258,0.800157,69.1702,125.853,0.110041,0.118614,25.0456,0.766693,0.306105,0.476096,36.55,0.766693,28.8898,25.9533,44.1579,40.2604,8.01342,5.19633,0.36027,0.369741,2.30059,-5.2526,0.0281326,0.0135096
4,4.5935,0.0113233,0.35,0.425000,0.418316,8.85108e-05,0.4,0.375000,0.386532,4.21537e-05,100,3.40116,0.912293,3.27981,3.21907,3.1826,3.15828,0.594658,0.587901,0.584434,0.582324,0.586174,0.583837,0.0499638,7.43777,12.5076,1.14872,1.16847,7.53452,6.8321,0.560347,12.7949,11.3352,0.465265,69.1702,125.853,0.0334187,0.0508002,6.47484,0.183022,0.087043,0.158786,10.7043,0.183022,7.54062,6.56438,11.6647,9.9829,7.27343,4.68011,0.404437,0.374052,2.26259,-6.81788,0.0292442,0.0135409
4,3.37588,0.00776516,0.35,0.275000,0.282328,7.04957e-05,0.4,0.425000,0.423531,0.000101983,100,6.41814,1.03242,5.95386,5.72431,5.5874,5.49646,0.712041,0.698609,0.691495,0.687089,0.694712,0.697667,0.0285362,22.0106,30.9119,1.01606,0.960389,22.3333,22.6831,0.767565,31.5829,34.0562,0.610496,69.1702,125.853,0.194765,0.12286,21.6626,1.20302,0.470449,0.228162,32.1869,1.20302,27.6977,27.2599,41.8205,43.5454,9.46988,5.73856,0.27649,0.414276,2.70231,11.2916,0.0323153,0.0165101
4,3.77145,0.0152737,0.35,0.325000,0.325877,0.000100523,0.4,0.425000,0.423288,0.000103712,100,4.90408,0.520504,4.59672,4.44307,4.35089,4.28944,0.663076,0.65103,0.644679,0.640757,0.649282,0.646137,0.0196955,42.8513,64.6251,1.03565,1.03433,43.4594,43.6104,1.11383,66.2039,66.4421,0.929012,69.1702,125.853,0.357082,0.230018,41.3764,2.14886,0.71306,0.813292,62.4805,2.14886,53.7848,51.9335,82.7638,80.0172,8.69085,5.2942,0.316543,0.411424,2.61409,7.65848,0.0322566,0.0165091
4,4.14612,0.0186499,0.35,0.375000,0.37274,9.84075e-05,0.4,0.425000,0.423638,0.000101851,100,5.14823,0.648274,4.85864,4.71418,4.62761,4.56995,0.672068,0.661348,0.655734,0.652279,0.658499,0.656776,0.0232383,36.3384,54.0695,1.10322,1.08479,36.892,34.7235,1.10453,55.5033,53.2032,0.891242,69.1702,125.853,0.234798,0.267046,32.9385,1.50247,0.571717,0.750004,49.8431,1.50247,41.4579,37.5791,64.6959,59.6389,7.86469,4.80194,0.362066,0.410931,2.51387,3.53113,0.0369656,0.0137578
4,4.56801,0.0130768,0.35,0.425000,0.420492,9.62231e-05,0.4,0.425000,0.42408,0.000103689,100,5.37969,1.10095,5.13543,5.01365,4.94069,4.8921,0.68016,0.671608,0.667172,0.664456,0.667366,0.664932,0.0375414,15.1503,22.2747,1.11528,1.08805,15.4216,14.4079,0.73674,23.0386,21.9279,0.581593,69.1702,125.853,0.0842033,0.159038,13.5843,0.495362,0.256335,0.445751,20.472,0.495362,15.6371,14.0207,24.6845,22.6868,7.18151,4.38068,0.406531,0.410058,2.45732,1.202,0.0369479,0.0137573
4,4.96707,0.00759107,0.35,0.475000,0.46851,8.60998e-05,0.4,0.425000,0.423686,0.000103639,100,4.23221,1.59731,4.04805,3.95625,3.90126,3.86464,0.635578,0.627239,0.622938,0.620314,0.623216,0.622404,0.0707094,3.981,6.26359,1.15854,1.11746,4.05053,3.60705,0.39506,6.46253,5.95366,0.315003,69.1702,125.853,0.0213749,0.0386409,3.43621,0.114139,0.0710015,0.107024,5.60522,0.114139,3.27814,2.82953,5.21396,4.66592,6.52007,3.96981,0.451157,0.407638,2.39561,-1.33929,0.0368752,0.0137553
4,3.38082,0.00655456,0.35,0.275000,0.284283,6.24294e-05,0.4,0.475000,0.463182,4.41627e-05,100,3.29944,0.703667,2.87681,2.66482,2.53742,2.45239,0.58901,0.563751,0.549876,0.541103,0.561826,0.560924,0.0396195,7.17764,12.1859,1.01254,1.02734,7.33315,7.52522,0.426299,12.5599,12.6297,0.384781,69.1702,125.853,0.0936954,0.0598965,7.08875,0.71024,0.20258,0.16145,11.8616,0.71024,11.207,11.0682,17.2374,16.7786,9.39994,5.35989,0.278134,0.453594,2.93941,21.0563,0.0419824,0.0166766
4,3.74641,0.0135475,0.35,0.325000,0.327008,0.000100206,0.4,0.475000,0.469373,8.59631e-05,100,5.94449,0.875745,5.42526,5.16682,5.01213,4.90917,0.698325,0.681706,0.672733,0.667115,0.679526,0.677362,0.0265665,23.9013,34.2266,1.03921,1.02023,24.3986,24.3649,0.78723,35.2726,35.8343,0.651617,69.1702,125.853,0.263631,0.214847,22.9996,1.65492,0.497514,0.527653,33.548,1.65492,31.6811,30.4858,49.8399,48.8518,8.59955,4.8872,0.318683,0.457566,2.86939,18.1725,0.0435322,0.0167033
4,4.12343,0.0190452,0.35,0.375000,0.372755,9.87263e-05,0.4,0.475000,0.472004,0.00010107,100,4.84053,0.660009,4.48856,4.31303,4.20786,4.1378,0.660654,0.646583,0.639121,0.634497,0.643842,0.640838,0.0253346,25.3254,38.3339,1.0854,1.06882,25.8575,24.7821,0.848867,39.6498,38.4696,0.714158,69.1702,125.853,0.235074,0.255137,23.3328,1.3679,0.517629,0.713559,35.8656,1.3679,29.5559,27.2304,47.3073,44.2613,7.82458,4.44316,0.361705,0.45812,2.78548,14.7171,0.0468605,0.0140358
4,4.56129,0.0131106,0.35,0.425000,0.420206,9.47404e-05,0.4,0.475000,0.473272,0.000101111,100,4.84827,0.979876,4.55531,4.40832,4.31996,4.26099,0.660951,0.64934,0.64321,0.639421,0.64581,0.640256,0.0375471,12.2374,18.5149,1.12119,1.14656,12.5014,11.5609,0.604538,19.2768,17.4,0.519301,69.1702,125.853,0.0921521,0.143261,10.9147,0.570669,0.224691,0.439821,16.1482,0.570669,12.5357,11.1807,20.3609,17.7582,7.17949,4.06757,0.406386,0.457607,2.74098,12.884,0.047101,0.0140426
4,4.95346,0.00745971,0.35,0.475000,0.467576,8.29428e-05,0.4,0.475000,0.473556,0.000103649,100,6.05576,2.7023,5.7088,5.53708,5.43461,5.36653,0.701664,0.691002,0.685438,0.682022,0.687404,0.677164,0.0801723,3.16925,4.51677,1.11369,1.03763,3.24544,3.01111,0.317033,4.74144,4.70776,0.24939,69.1702,125.853,0.022322,0.046089,2.84573,0.121396,0.0570046,0.159522,4.35298,0.121396,2.62021,2.35273,4.29546,4.13969,6.52557,3.68913,0.449909,0.456373,2.67651,10.2292,0.047017,0.0140402
